cement,fly_ash,water,superplasticizer,fine_aggregate,coarse_aggregate,age,compressive_strength
420.9,147.3,127.4,13.4,837.1,811.9,56,57.61
303.6,177.3,175.0,19.2,678.6,1039.1,180,61.73
450.5,184.2,135.5,7.4,881.2,1132.7,90,67.71
394.1,100.7,138.3,8.5,760.3,1090.2,56,58.88
183.0,104.1,195.9,16.2,546.4,897.0,28,34.05
491.5,160.0,167.2,10.1,854.0,818.7,7,56.4
416.4,62.9,230.6,14.7,695.7,1129.1,14,47.08
425.1,167.5,158.3,9.2,556.7,1128.0,90,60.78
194.8,98.8,207.1,4.3,561.1,986.3,3,22.7
307.6,23.2,175.3,14.9,775.0,1024.8,3,37.88
279.8,14.4,199.2,2.6,518.9,961.9,28,28.55
474.4,168.4,192.0,4.0,614.6,946.9,180,63.87
375.4,11.1,176.7,12.5,555.9,841.8,90,49.7
438.0,56.1,234.0,14.9,676.4,833.9,56,56.58
305.2,66.8,161.1,17.9,665.7,881.5,56,45.14
229.5,34.6,141.3,5.5,708.8,1092.8,3,21.66
344.1,62.8,201.4,2.2,611.9,851.0,14,36.85
172.3,148.5,221.5,19.1,512.8,879.3,3,26.54
439.7,2.9,124.8,3.1,745.8,992.0,180,56.22
371.1,165.4,174.0,4.0,649.5,875.3,180,57.69
415.3,171.3,227.1,5.8,760.5,857.1,14,55.27
274.1,74.5,210.0,10.6,543.5,997.2,14,32.0
489.7,30.7,239.0,17.7,505.5,928.8,14,55.8
462.6,120.2,183.8,15.2,599.3,1019.2,365,74.71
422.4,23.9,199.2,14.2,682.6,1119.3,28,52.47
218.1,73.0,156.3,3.5,657.6,852.8,180,37.91
313.4,191.7,233.7,7.2,824.1,1119.7,28,51.18
165.3,199.1,164.0,9.6,651.1,1115.9,90,40.01
204.0,154.4,208.6,2.9,712.2,1090.2,56,39.72
389.1,62.2,168.4,5.5,737.4,1021.0,14,48.45
410.7,137.5,187.4,6.2,508.7,1017.1,365,62.49
488.6,141.1,206.4,2.5,706.1,1023.7,90,65.51
264.0,77.6,181.1,11.0,637.9,1041.7,180,47.97
279.7,128.2,228.9,14.1,668.5,805.8,365,55.87
314.3,2.1,170.3,1.4,540.1,1135.3,7,30.48
216.3,41.8,197.6,9.6,813.1,1005.0,3,23.67
195.5,105.0,161.1,15.6,877.0,1073.5,56,40.6
316.5,32.8,169.0,15.0,508.9,932.0,14,43.31
229.4,33.2,172.8,16.3,740.5,804.3,28,32.51
384.4,167.3,135.1,9.0,805.5,978.4,7,54.02
303.0,197.8,131.0,16.4,613.9,977.5,28,53.69
441.4,111.2,200.1,4.8,815.0,952.9,28,51.6
395.1,167.8,198.7,7.2,752.9,918.9,14,55.21
259.3,198.1,199.5,3.5,871.7,887.4,90,53.32
441.3,28.3,122.4,9.3,892.4,984.6,56,62.58
431.7,89.6,159.2,7.8,516.9,931.3,28,58.91
285.6,78.5,143.7,4.8,678.0,1139.5,3,33.82
250.9,16.0,213.4,15.0,718.8,860.5,56,31.94
388.9,151.1,223.3,6.3,558.7,911.9,7,40.26
198.9,86.8,149.6,5.5,634.5,902.9,14,30.32
220.0,93.9,200.1,2.6,895.1,990.2,28,31.03
152.6,30.1,135.5,8.8,506.5,974.7,7,16.53
425.4,36.2,153.0,6.1,681.0,1025.3,28,52.33
382.7,181.4,136.6,7.4,837.1,1132.5,14,55.64
396.8,8.9,154.0,4.7,629.6,899.8,180,50.49
423.3,46.6,201.0,15.3,691.9,1042.5,180,60.98
310.6,58.4,229.2,18.6,891.2,808.8,3,41.68
349.1,98.0,144.3,10.0,690.0,891.8,56,49.08
198.9,117.3,185.0,12.9,552.4,962.3,90,42.1
190.1,98.7,204.2,17.3,520.7,810.8,28,31.55
383.9,16.8,234.4,20.0,878.2,1016.2,28,52.99
314.9,48.7,193.2,12.3,606.3,1037.4,180,53.82
347.8,168.7,150.6,17.8,701.6,1061.4,28,58.02
417.7,127.5,195.1,18.2,536.3,980.8,3,53.04
372.2,129.8,158.5,15.8,669.5,1011.4,14,49.02
343.8,134.0,237.1,9.2,872.0,938.6,14,49.11
345.7,152.6,168.0,1.6,701.0,814.4,28,44.69
256.4,11.6,202.3,0.3,888.5,835.0,7,25.71
160.8,73.3,122.8,9.5,603.5,1029.2,7,26.21
302.9,107.9,168.0,9.9,701.8,1148.4,365,57.3
225.1,67.7,225.0,8.1,843.8,805.5,7,27.73
293.0,168.9,193.2,11.4,679.3,995.2,90,48.67
448.7,96.5,173.3,11.0,611.8,1062.9,90,58.68
231.9,153.7,232.3,16.7,842.2,1089.4,56,47.09
170.4,170.4,222.5,2.2,656.0,990.8,365,40.24
248.5,101.0,158.7,4.5,712.3,1017.0,3,33.5
252.8,181.9,185.3,15.9,890.6,1043.9,14,43.91
381.7,117.4,178.8,17.0,574.6,1100.6,7,45.74
345.0,170.1,195.9,19.9,620.6,842.8,56,59.65
424.4,68.1,160.1,17.5,512.4,1124.2,90,60.97
382.5,99.8,149.3,17.8,656.7,809.1,365,66.42
292.2,106.3,229.5,6.3,580.1,1092.7,28,38.15
434.9,21.0,230.9,8.0,772.0,826.9,7,50.63
208.4,79.7,221.2,5.4,572.5,868.1,365,36.14
157.9,183.5,237.4,12.1,769.9,801.4,90,35.85
181.5,126.2,209.4,18.8,605.4,955.8,180,42.62
402.8,35.5,211.8,6.9,642.1,917.0,28,44.96
311.7,67.8,211.5,11.1,639.5,858.1,28,43.29
206.4,38.3,177.7,5.9,786.7,957.9,28,34.26
325.4,5.0,174.8,3.4,686.6,940.8,90,42.43
203.3,185.5,148.8,3.9,644.5,1068.7,7,33.58
393.7,89.6,197.4,1.2,841.0,1112.6,365,51.43
306.2,61.5,154.7,19.0,728.8,1028.4,7,42.55
283.4,119.7,150.9,8.1,585.5,843.5,28,41.85
255.5,1.5,190.3,16.7,860.0,903.4,14,31.44
370.6,55.6,169.2,13.6,637.1,1119.7,90,58.64
276.6,140.6,146.3,3.8,515.6,831.1,90,44.76
180.7,126.8,217.9,3.5,697.8,942.4,365,38.42
191.3,196.4,223.3,16.2,549.6,1129.9,180,44.85
486.7,124.1,140.1,5.3,595.4,1132.7,7,50.27
468.0,95.5,120.9,18.3,798.8,943.9,7,56.14
394.9,152.3,160.3,2.8,552.3,1033.6,365,65.24
243.1,180.7,215.7,13.6,822.8,959.9,28,36.78
489.2,144.1,220.7,16.3,874.8,1063.7,3,55.56
422.6,192.6,136.6,4.7,742.6,811.1,180,63.88
400.9,156.4,212.9,5.5,784.1,850.5,90,62.99
307.3,173.4,133.9,19.3,785.4,1015.0,3,48.14
245.3,22.8,166.8,5.3,897.1,881.4,180,39.34
183.7,146.5,239.8,8.6,636.6,1033.1,56,38.01
465.9,88.0,143.1,8.7,565.1,922.9,56,59.04
309.5,110.6,138.5,5.1,707.7,1110.3,180,55.85
220.8,130.8,170.7,15.5,713.3,1086.7,28,36.73
257.1,194.0,194.4,15.4,571.2,972.5,28,48.56
352.7,196.9,231.9,7.6,745.2,1070.5,56,52.71
211.9,57.6,237.7,16.7,505.6,894.9,7,22.58
449.8,146.8,128.4,4.3,871.1,973.0,7,53.81
415.5,150.0,136.6,0.1,605.8,869.1,180,61.41
401.8,69.3,214.9,11.4,515.8,1101.3,7,44.67
301.2,24.8,152.5,19.9,543.3,1088.1,56,49.59
369.6,8.2,226.2,0.8,596.1,1115.8,14,36.55
354.4,155.5,199.6,4.2,609.6,1107.1,7,45.36
377.4,97.9,133.4,10.4,513.1,1135.9,56,56.55
179.6,197.1,219.9,16.2,611.7,879.9,180,44.31
295.5,93.0,141.2,1.8,577.2,1126.1,28,40.1
164.6,195.6,170.8,7.9,651.4,999.9,7,30.11
322.9,82.3,186.3,14.9,654.1,947.9,7,43.47
265.5,158.7,180.1,7.4,635.6,996.1,7,43.27
200.6,17.0,202.3,3.8,631.2,919.9,365,36.46
186.2,111.1,198.3,3.9,535.9,901.0,14,28.93
355.7,160.4,239.0,8.2,510.1,884.5,14,54.9
209.7,184.9,239.9,9.6,580.8,828.8,3,29.52
473.8,164.5,182.0,17.2,802.7,973.8,28,67.31
353.4,7.4,131.4,12.8,896.3,1110.7,365,61.7
271.4,74.5,207.3,13.8,871.4,1020.6,28,38.34
356.8,9.7,237.2,19.7,701.7,982.3,90,50.16
158.0,21.9,158.2,8.2,712.7,950.0,7,16.61
485.5,135.1,175.3,8.1,625.8,962.5,7,58.16
318.8,142.7,171.0,18.5,809.6,873.2,90,55.8
424.0,154.7,126.2,4.9,805.9,1088.0,3,50.51
179.0,173.1,200.7,14.6,837.7,869.4,28,40.33
320.3,147.9,162.4,15.1,858.2,1050.8,14,51.76
321.7,160.2,214.5,2.0,673.7,1066.0,3,36.28
478.2,9.8,219.9,9.4,806.8,1001.2,56,56.74
350.1,46.9,218.5,4.0,822.6,1102.0,365,57.2
315.7,124.4,170.0,3.7,623.4,901.9,3,38.37
243.4,171.6,158.6,9.3,871.7,1108.6,180,46.26
266.0,0.9,209.9,5.8,537.7,1055.3,56,32.92
332.2,102.9,216.2,15.9,897.7,1079.6,90,54.85
303.6,135.5,179.0,18.2,808.0,1032.6,3,44.52
157.6,5.9,227.2,16.1,537.3,1096.2,180,27.86
439.2,80.3,137.3,5.3,762.5,1147.6,3,49.36
463.7,179.1,225.5,5.5,513.7,947.1,365,70.17
199.1,134.3,131.5,5.1,808.1,1084.9,90,41.61
343.9,47.5,138.4,2.7,819.7,1060.6,14,40.81
188.0,170.6,184.1,18.9,741.0,958.5,3,31.35
385.3,69.6,128.1,8.0,842.7,1124.4,56,55.72
248.4,170.7,126.3,4.5,539.2,938.0,3,33.22
380.8,59.8,120.1,16.9,610.4,997.9,56,51.5
404.4,118.1,172.4,8.0,665.7,837.1,180,59.58
419.0,79.4,213.0,0.7,517.0,879.0,14,46.0
187.7,55.0,124.2,3.2,679.3,1094.2,7,24.44
470.6,177.3,198.3,12.8,606.1,938.8,7,56.92
230.6,37.5,218.8,15.7,657.1,937.9,7,29.48
163.1,17.0,140.2,4.2,670.0,886.1,3,11.88
344.2,68.4,137.6,18.3,851.8,972.1,7,42.53
279.8,143.5,223.3,17.0,608.1,1082.0,90,48.87
440.4,161.5,218.8,17.0,857.5,1113.3,14,62.17
432.9,199.7,184.7,4.6,670.4,824.5,180,69.75
261.0,59.3,218.3,1.0,631.1,1001.2,180,42.14
483.5,81.6,131.1,17.3,701.0,963.5,180,67.37
251.8,27.4,167.3,6.1,667.1,1015.0,56,36.28
330.3,115.0,208.5,12.4,602.9,956.5,14,45.28
239.6,199.5,150.9,15.2,701.1,939.5,365,56.54
477.6,140.2,210.3,2.6,560.7,965.2,7,53.97
207.6,119.0,180.5,15.6,640.8,1003.7,28,35.07
